,n_train,smooth,depth,width,lr,best_epoch,R2,MSE
269,32.0,0.01,3.0,4.0,0.01,544.0,0.9782342314720154,0.07320266216993332
270,32.0,0.01,3.0,16.0,0.0001,342.0,-85.7633285522461,291.80255126953125
271,32.0,0.01,3.0,16.0,0.001,277.0,0.4363062381744385,1.8958156108856201
272,32.0,0.01,3.0,16.0,0.01,0.0,-1533.6947021484375,5161.48779296875
273,32.0,0.01,3.0,32.0,0.0001,0.0,-1533.6947021484375,5161.48779296875
274,32.0,0.01,3.0,32.0,0.001,0.0,-1533.6947021484375,5161.48779296875
275,32.0,0.01,3.0,32.0,0.01,0.0,-1533.6947021484375,5161.48779296875
276,32.0,0.01,4.0,3.0,0.0001,1332.0,-88.24606323242188,300.1524963378906
277,32.0,0.01,4.0,3.0,0.001,12359.0,-1.3398571014404297,7.869410991668701
278,32.0,0.01,4.0,3.0,0.01,0.0,-1533.6947021484375,5161.48779296875
279,32.0,0.01,4.0,4.0,0.0001,0.0,-1533.6947021484375,5161.48779296875
280,32.0,0.01,4.0,4.0,0.001,0.0,-1533.6947021484375,5161.48779296875
281,32.0,0.01,4.0,4.0,0.01,18748.0,-1.3398184776306152,7.86928129196167
282,32.0,0.01,4.0,16.0,0.0001,389.0,-111.7157211303711,379.085693359375
283,32.0,0.01,4.0,16.0,0.001,0.0,-1533.6947021484375,5161.48779296875
284,32.0,0.01,4.0,16.0,0.01,264.0,0.4027327299118042,2.008730173110962
285,32.0,0.01,4.0,32.0,0.0001,0.0,-1533.6947021484375,5161.48779296875
286,32.0,0.01,4.0,32.0,0.001,0.0,-1533.6947021484375,5161.48779296875
287,32.0,0.01,4.0,32.0,0.01,0.0,-1533.6947021484375,5161.48779296875
288,64.0,0.0,1.0,3.0,0.0001,0.0,-1507.496826171875,5161.88720703125
289,64.0,0.0,1.0,3.0,0.001,0.0,-1507.496826171875,5161.88720703125
290,64.0,0.0,1.0,3.0,0.01,0.0,-1507.496826171875,5161.88720703125
291,64.0,0.0,1.0,4.0,0.0001,14488.0,0.9981457591056824,0.00634494423866272
292,64.0,0.0,1.0,4.0,0.001,6848.0,0.948687732219696,0.175584077835083
293,64.0,0.0,1.0,4.0,0.01,0.0,-1507.496826171875,5161.88720703125
294,64.0,0.0,1.0,16.0,0.0001,0.0,-1507.496826171875,5161.88720703125
295,64.0,0.0,1.0,16.0,0.001,5390.0,0.9581944346427917,0.143053337931633
296,64.0,0.0,1.0,16.0,0.01,670.0,0.9961144924163818,0.013295632787048817
297,64.0,0.0,1.0,32.0,0.0001,0.0,-1507.496826171875,5161.88720703125
298,64.0,0.0,1.0,32.0,0.001,0.0,-1507.496826171875,5161.88720703125
299,64.0,0.0,1.0,32.0,0.01,0.0,-1507.496826171875,5161.88720703125
300,64.0,0.0,2.0,3.0,0.0001,17391.0,0.9972960948944092,0.00925250630825758
301,64.0,0.0,2.0,3.0,0.001,0.0,-1507.496826171875,5161.88720703125
302,64.0,0.0,2.0,3.0,0.01,755.0,0.9757054448127747,0.08313291519880295
303,64.0,0.0,2.0,4.0,0.0001,0.0,-1507.496826171875,5161.88720703125
304,64.0,0.0,2.0,4.0,0.001,2830.0,0.5206636190414429,1.6402292251586914
305,64.0,0.0,2.0,4.0,0.01,0.0,-1507.496826171875,5161.88720703125
306,64.0,0.0,2.0,16.0,0.0001,0.0,-1507.496826171875,5161.88720703125
307,64.0,0.0,2.0,16.0,0.001,4929.0,0.9920162558555603,0.02731928788125515
